一只未打开的金属罐,,,,,,,,,,你摇了摇这只金属罐，里面听起来像是装满了[液体/沙子/蜘蛛/碎玻璃]
一个充满水的玻璃球里面有一只机械金鱼在游,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
"一把柄上刻有""M”字的银汤勺",你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一只跟你手差不多大的死亡圣甲虫,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
两个玩具士兵，其中一个缺了头,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一个装满各种大小纽扣的小盒子,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一只无法被点亮的蜡烛,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一只没有门的小笼子,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一把老旧的钥匙,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一幅模糊不清的藏宝图,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一把破剑的剑柄,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一只兔子脚,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一只玻璃眼,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一枚刻有可怕人物形象的浮雕宝石,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一个硬币大小的银骷髅,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一面雪花石膏面具,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一块金字塔形的黏黏的黑色熏香,,,,,,,,,,香薰的气味十分糟糕
一顶可以带给穿戴者美梦的睡帽,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
单独一枚骨质蒺藜,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一副没有镜片的金质单边眼睛框,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一个1寸大小的立方体，每面绘着不同的颜色,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
来自某扇门的水晶把手,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一个装满粉色尘土的小袋子,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一首优美歌曲的乐谱，用音乐记号写在两张羊皮纸上,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一枚用真泪珠做成的泪珠耳环,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一只蛋壳，其上绘有令人不安的人类受苦场景,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一把折扇,,,,,,,,,,你把折扇打开，看到了一只睡猫
一套骨烟斗,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一本讨论规矩和礼仪的书,,,,,,,,,,你翻开书，发现一篇一根四叶草
一张绘有复杂机械结构的羊皮纸,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一把华丽的剑鞘,,,,,,,,,,你发现队伍里的所有剑都不能合适得装进去
一张邀请函，属于某个曾经发生命案的聚会,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一枚铜质五角星其中央蚀刻着一个老鼠头,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一条紫色的方手帕，其上绣着某名强力大法师的名字,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一座庙宇、城堡或是其它建筑物的半张平面图,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一块叠起的布,,,,,,,,,,你把这块布展开，便获得了一顶独特的帽子
一张存款收据，其属于某家遥远城市中的银行,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一本丢失了七页的日记,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一个空的银质鼻烟盒，其表面上的题字意思是“梦”,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一枚属于某个不明神衹的铁质圣徽,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一本讲述某个传奇英雄兴起衰落的故事书,,,,,,,,,,你在翻阅的时候发现其中最后的章节丢失了
一小瓶龙血,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一支精灵设计的古箭,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
根永不会弯的针,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一枚矮人设计的华丽胸针,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
"一个空的红酒瓶，其上面有一枚漂亮的酒标写着：“美酒巫师庄园The Wizard of Wines Winery,红龙陨落之年Red Dragon Crush,331422-W""",你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一块多彩釉质表面的马赛克瓦,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一只石化的老鼠,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一面装饰着龙骷髅和交叉骨头的黑色海盗旗,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一只不被观察就会活动的小金属蟹或蜘蛛,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一只装有荤油的玻璃罐其标签上写着“狮鹫油',你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一只陶底木盒内装着一条两头都长着脑袋的活蠕虫,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
一只装有英雄骨灰的金属瓮,你短暂思索了一下，把他放进了口袋,thinking……,,,,,,,,
